text,true_intent,retrieval_score
"Can anyone on @AmazonHelp advise on a quick query? If I buy an @115830 e-voucher for my friends in Southern Ireland, where they obviously have euros, will they still be able to use them? Many thanks in advance. :-)",payment_or_billing,1.0
Always used to have really reliable prime deliveries from @115830 but the last two have been a mess 🤨,delivery_delay,0.41756037567449683
@AmazonHelp @115850 is applying predatory practices. No option to write product review for @121284 . Quite a master stroke!,seller_or_product_complaint,1.0000000000000002
Hey @115821 why do you guys send a box 10x the normal size of the actual product. Like what the heck??,seller_or_product_complaint,0.34045565519303933
@AmazonHelp Can you look into my order to see when it might ship?,order_issue,1.0
Hey @115821 how many deliveries you make in a day in India?,other_non_actionable,0.4456031539039699
@AmazonHelp バージョンアップの度にアプリ内でのリマインド広告が増えています。ユーザーは本を読むためにリーダーアプリを使います。買い物をするためではありません。アプリのバージョンは別添の通りです。よろしくお願いします。 https://t.co/UoHrN2BrBe,product_or_digital_issue,1.0
"@AmazonHelp M'voyons... le grand enfant que je suis à déjà tout ouvert :P L'ouverture des cartons, c'est comme un 1er Noël avant l'heure :D",other_non_actionable,1.0000000000000002
"Vraiment pas cool @AmazonHelp livraison garantie aujourd'hui, on paye pour le Premium, et là bim je me retrouve encore une semaine sans pouvoir bosser correctement👎:( https://t.co/wVtHRi17l9",delivery_delay,1.0000000000000002
"@AmazonHelp Hi, I need to return an item that's defective but wasn't given the option to arrange a Hermes pickup .. can you help?",refund_or_return,1.0
@AmazonHelp This review is in violation of your community guidelines. Please have it removed. Thank you. https://t.co/L2WBaI4xvp,seller_or_product_complaint,1.0000000000000002
"@AmazonHelp ご丁寧にありがとうございます。
久しく利用していませんが、機会がありましたらまたお買い物させてください。",other_non_actionable,1.0
thank you @115830 and #dhlphilippines for a delivering my books in great condition! 😍😍😀😀,other_non_actionable,0.5007260168536444
@AmazonHelp Still no package.. never using #amzl_us again.,delivery_not_received,1.0000000000000002
@AmazonHelp やだ・・・中の人かわいすぎかよ・・・(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀),other_non_actionable,1.0000000000000002
@AmazonHelp is this real? Logged into my account and it says I’m not a prime member which would be right? https://t.co/I3kmoNx1v6,prime_subscription,1.0
"@AmazonHelp Wenn ich drauf drücke tut sich gar nichts. Weder öffnet sich die App, noch kann ich dann irgendwas anderes drücken außer „Exit“. Ich hab sie gelöscht, aber nach wie vor ist das Problem noch da.",product_or_digital_issue,1.0
@AmazonHelp Yes I have seen the reply but asking for the resolution bcoz the same excuse I am hearing from last 2 days..,order_issue,1.0
@115821 what do I do when your customer service chat folks snubs me? They stopped mid conversation.,other_non_actionable,0.38525205500743964
@AmazonHelp Estoy muy harta de esta situación. Lo he dicho por activa y por pasiva y seguís mandando cosas por Correos. LA GENTE PAGA POR UN SERVICIO. DADLE ESE SERVICIO. CORREOS NO PROPORCIONA ESE SERVICIO.,delivery_attempt_issue,1.0000000000000002
"@AmazonHelp I'll quote the associate:
""I have checked the details for your order. 
Unfortunately the only available method is the pass my parcel method. 
But do not worry. Please return the item to a collectplus store by paying for the postage.""",refund_or_return,1.0
@AmazonHelp all 2000 rs gvs bought from Bookmyshow and Giftyr have been locked in Amazon account.  C care doesn't have any info in this,payment_or_billing,1.0
@AmazonHelp Yes! Nothing. Im fuming.,other_non_actionable,1.0
@115850 had ordered mi3c wifi router.prices drstically changed in few days.kindly refund d xtra amnt if possible. it'd be a great gesture,payment_or_billing,0.2878809522138871
@AmazonHelp Aamer*,other_non_actionable,1.0
"@AmazonHelp 
I need to know about Amazon pay",payment_or_billing,1.0
"@AmazonHelp I would contact the carrier Hermes if the contact information was readily available. All I have is the tracking information and number. Checked with neighbours, no sign of it. How do I contact the carrier.",delivery_not_received,1.0
"@AmazonHelp A whole month waiting 4 credit back 4 a returned faulty gift. Numerous contacts, 2 hours chatting online with advisors, promises of resolution never fulfilled. Supervisors don't care. Latest was promise of contact in 24h, still waiting. You don´t honour your own T&amp;C.",refund_or_return,1.0
"@115821 why do I have a random charge for $11.84 for ""amazon prime"" when I am not a prime member and haven't made a purchase in a long time",prime_subscription,0.43604472544059053
"@AmazonHelp blatantly not resolved, hence tweet. i give up!",other_non_actionable,1.0
@AmazonHelp i checked my bank account and i was charged for something that i wasn’t aware of and i checked my account on amazon and nonthing was their for the charge and i also checked my email and was not notified of the charge,payment_or_billing,1.0
"@AmazonHelp Gracias, me llamaron a través del enlace que me pasasteis y una chica me atendió muy bien. Un saludo",other_non_actionable,1.0
"@AmazonHelp Done.But wont keep silence if I wont get the same item.
Now its cost is more than what I hv ordrd actually.
It is ur fault u hv to pay 4 it",order_issue,1.0000000000000002
@AmazonHelp you select an item that has FREE ONE DAY shipping and at check out it wants to charge you $3.99 for one day shipping! WTH!,payment_or_billing,1.0
It's silly how hard it is to change my Super Mario Odyssey pre-order on @115821. I want to change my physical order to a digital one. dasit.,order_issue,0.4176814905978144
@AmazonHelp You may contact me at +91 9029558838,other_non_actionable,1.0000000000000002
"@AmazonHelp I canceled, I want a refund",refund_or_return,1.0000000000000002
"@AmazonHelp Ok tenia.como 5 minutos supongo que.apenas recibieron la.orden cuando.cancele , gracias",other_non_actionable,1.0
@115821 keeps sending me shipment notifications for someone else's account (I've contacted them to fix but apparently haven't) and my man is really gonna start thinking I'm hiding something from him https://t.co/5FmCYYLEzC,account_or_security,0.282502070613866
@AmazonHelp Hola. ¿Hay alguna forma de contactar con el mensajero para saber a qué hora tiene previsto hacer una entrega? Muchas gracias.,delivery_attempt_issue,1.0000000000000002
@AmazonHelp I have but I do not believe them when they say the bag was damaged on delivery to me. They package was well wrapped and this is the mark https://t.co/YtXPrH4KBv,seller_or_product_complaint,1.0
@AmazonHelp Yup I got it... Is there any bews about that version in the future was my question! Thanks anyway,other_non_actionable,1.0000000000000002
